id name uniqueid lastupdate positionid groupid attributes phone model contact category disabled
1	08132897390-MTN	213GDP2018021340	2020-02-26 23:29:08.776	789735	\N	{}				\N	f
13	KSF412FM	213GDP2018021339	2019-10-08 06:32:41.36	240103	\N	{}				\N	f
8	BDG28FW	213GDP2018021873	2019-12-22 14:31:03.235	590736	\N	{}				\N	f
10	KSF695FR	213GDP2018021863	2020-01-12 11:31:10.566	698695	\N	{}				\N	f
3	AKD371FS	213GDP2018021854	2020-02-26 17:47:26.122	789568	\N	{}				\N	f
11	NSW168XA	213GDP2018021900	2019-08-22 17:10:36.605	13588	\N	{}				\N	f
7	BDG26FW	213GDP2018021865	2019-10-01 15:58:38.634	221882	\N	{}				\N	f
9	AKD159FH	213GDP2018021862	2020-02-26 23:44:07.159	789741	\N	{}				\N	f
6	KTU586FU	213GDP2018021882	2020-02-26 23:47:00.427	789745	\N	{}				\N	f
12	AKD150FH	213GDP2018021902	2020-02-27 00:10:55.85	789746	\N	{}				\N	f
